"file_A","file_B","dis2txt","cosine","difference"
"geo020s08a0067v01","geo020s08a0027v01",0,1,1
"geo020s08a0071v01","geo020s08a0027v01",0,1,1
"geo020s08a0102v01","geo020s08a0027v01",0,1,1
"geo020s08a0136v01","geo020s08a0027v01",0,1,1
"geo020s08a0162v01","geo020s08a0027v01",-2.22044604925e-16,1,1
"geo020s08a0202v01","geo020s08a0027v01",0,1,1
"geo020s08a0206v01","geo020s08a0027v01",0,1,1
"geo020s08a0027v01","geo020s08a0067v01",0,1,1
"geo020s08a0071v01","geo020s08a0067v01",0,1,1
"geo020s08a0102v01","geo020s08a0067v01",0,1,1
"geo020s08a0136v01","geo020s08a0067v01",0,1,1
"geo020s08a0162v01","geo020s08a0067v01",0,1,1
"geo020s08a0202v01","geo020s08a0067v01",0,1,1
"geo020s08a0206v01","geo020s08a0067v01",0,1,1
"geo020s08a0027v01","geo020s08a0071v01",0,1,1
"geo020s08a0067v01","geo020s08a0071v01",0,1,1
"geo020s08a0102v01","geo020s08a0071v01",-2.22044604925e-16,1,1
"geo020s08a0136v01","geo020s08a0071v01",0,1,1
"geo020s08a0162v01","geo020s08a0071v01",0,1,1
"geo020s08a0202v01","geo020s08a0071v01",0,1,1
"geo020s08a0206v01","geo020s08a0071v01",0,1,1
"geo020s08a0027v01","geo020s08a0102v01",0,1,1
"geo020s08a0067v01","geo020s08a0102v01",0,1,1
"geo020s08a0071v01","geo020s08a0102v01",-2.22044604925e-16,1,1
"geo020s08a0136v01","geo020s08a0102v01",0,1,1
"geo020s08a0162v01","geo020s08a0102v01",0,1,1
"geo020s08a0202v01","geo020s08a0102v01",-2.22044604925e-16,1,1
"geo020s08a0206v01","geo020s08a0102v01",0,1,1
"geo020s08a0027v01","geo020s08a0162v01",-2.22044604925e-16,1,1
"geo020s08a0067v01","geo020s08a0162v01",0,1,1
"geo020s08a0071v01","geo020s08a0162v01",0,1,1
"geo020s08a0102v01","geo020s08a0162v01",0,1,1
"geo020s08a0136v01","geo020s08a0162v01",0,1,1
"geo020s08a0202v01","geo020s08a0162v01",-2.22044604925e-16,1,1
"geo020s08a0206v01","geo020s08a0162v01",-2.22044604925e-16,1,1
"geo020s08a0027v01","geo020s08a0202v01",0,1,1
"geo020s08a0067v01","geo020s08a0202v01",0,1,1
"geo020s08a0071v01","geo020s08a0202v01",0,1,1
"geo020s08a0102v01","geo020s08a0202v01",-2.22044604925e-16,1,1
"geo020s08a0136v01","geo020s08a0202v01",-2.22044604925e-16,1,1
"geo020s08a0162v01","geo020s08a0202v01",-2.22044604925e-16,1,1
"geo020s08a0206v01","geo020s08a0202v01",0,1,1
"geo020s08a0027v01","geo020s08a0206v01",0,1,1
"geo020s08a0067v01","geo020s08a0206v01",0,1,1
"geo020s08a0071v01","geo020s08a0206v01",0,1,1
"geo020s08a0102v01","geo020s08a0206v01",0,1,1
"geo020s08a0136v01","geo020s08a0206v01",0,1,1
"geo020s08a0162v01","geo020s08a0206v01",-2.22044604925e-16,1,1
"geo020s08a0202v01","geo020s08a0206v01",0,1,1
"geo020s09a0023v01","geo020s09a0004v01",0,1,1
"geo020s09a0057v01","geo020s09a0004v01",0,1,1
"geo020s09a0059v01","geo020s09a0004v01",0,1,1
"geo020s09a0064v01","geo020s09a0004v01",0,1,1
"geo020s09a0068v01","geo020s09a0004v01",0,1,1
"geo020s09a0070v01","geo020s09a0004v01",0,1,1
"geo020s09a0082v01","geo020s09a0004v01",0,1,1
"geo020s09a0084v01","geo020s09a0004v01",0,1,1
"geo020s09a0086v01","geo020s09a0004v01",-2.22044604925e-16,1,1
"geo020s09a0098v01","geo020s09a0004v01",0,1,1
"geo020s09a0105v01","geo020s09a0004v01",0,1,1
"geo020s09a0107v01","geo020s09a0004v01",0,1,1
"geo020s09a0116v01","geo020s09a0004v01",0,1,1
"geo020s09a0119v01","geo020s09a0004v01",0,1,1
"geo020s09a0120v01","geo020s09a0004v01",-2.22044604925e-16,1,1
"geo020s09a0128v01","geo020s09a0004v01",0,1,1
"geo020s09a0133v01","geo020s09a0004v01",0,1,1
"geo020s09a0137v01","geo020s09a0004v01",0,1,1
"geo020s09a0141v01","geo020s09a0004v01",0,1,1
"geo020s09a0158v01","geo020s09a0004v01",0,1,1
"geo020s09a0192v01","geo020s09a0004v01",0,1,1
"geo020s09a0194v01","geo020s09a0004v01",0,1,1
"geo020s09a0197v01","geo020s09a0004v01",0,1,1
"geo020s09a0201v01","geo020s09a0004v01",2.22044604925e-16,1,1
"geo020s09a0203v01","geo020s09a0004v01",0,1,1
"geo020s09a0222v01","geo020s09a0004v01",0,1,1
"geo020s09a0240v01","geo020s09a0004v01",0,1,1
"geo020s09a0242v01","geo020s09a0004v01",0,1,1
"geo020s09a0004v01","geo020s09a0023v01",0,1,1
"geo020s09a0057v01","geo020s09a0023v01",0,1,1
"geo020s09a0059v01","geo020s09a0023v01",0,1,1
"geo020s09a0064v01","geo020s09a0023v01",1.11022302463e-16,1,1
"geo020s09a0068v01","geo020s09a0023v01",0,1,1
"geo020s09a0070v01","geo020s09a0023v01",0,1,1
"geo020s09a0082v01","geo020s09a0023v01",0,1,1
"geo020s09a0084v01","geo020s09a0023v01",0,1,1
"geo020s09a0086v01","geo020s09a0023v01",0,1,1
"geo020s09a0098v01","geo020s09a0023v01",0,1,1
"geo020s09a0105v01","geo020s09a0023v01",1.11022302463e-16,1,1
"geo020s09a0107v01","geo020s09a0023v01",0,1,1
"geo020s09a0116v01","geo020s09a0023v01",0,1,1
"geo020s09a0119v01","geo020s09a0023v01",2.22044604925e-16,1,1
"geo020s09a0120v01","geo020s09a0023v01",0,1,1
"geo020s09a0128v01","geo020s09a0023v01",0,1,1
"geo020s09a0133v01","geo020s09a0023v01",0,1,1
"geo020s09a0137v01","geo020s09a0023v01",0,1,1
"geo020s09a0141v01","geo020s09a0023v01",0,1,1
"geo020s09a0158v01","geo020s09a0023v01",0,1,1
"geo020s09a0192v01","geo020s09a0023v01",0,1,1
"geo020s09a0194v01","geo020s09a0023v01",0,1,1
"geo020s09a0197v01","geo020s09a0023v01",0,1,1
"geo020s09a0201v01","geo020s09a0023v01",0,1,1
"geo020s09a0203v01","geo020s09a0023v01",-2.22044604925e-16,1,1
"geo020s09a0222v01","geo020s09a0023v01",0,1,1
"geo020s09a0240v01","geo020s09a0023v01",0,1,1
"geo020s09a0242v01","geo020s09a0023v01",2.22044604925e-16,1,1
"geo020s09a0004v01","geo020s09a0057v01",0,1,1
"geo020s09a0023v01","geo020s09a0057v01",0,1,1
"geo020s09a0059v01","geo020s09a0057v01",0,1,1
"geo020s09a0064v01","geo020s09a0057v01",0,1,1
"geo020s09a0068v01","geo020s09a0057v01",0,1,1
"geo020s09a0070v01","geo020s09a0057v01",0,1,1
"geo020s09a0082v01","geo020s09a0057v01",-2.22044604925e-16,1,1
"geo020s09a0084v01","geo020s09a0057v01",0,1,1
"geo020s09a0086v01","geo020s09a0057v01",0,1,1
"geo020s09a0098v01","geo020s09a0057v01",0,1,1
"geo020s09a0105v01","geo020s09a0057v01",1.11022302463e-16,1,1
"geo020s09a0107v01","geo020s09a0057v01",0,1,1
"geo020s09a0116v01","geo020s09a0057v01",1.11022302463e-16,1,1
"geo020s09a0119v01","geo020s09a0057v01",2.22044604925e-16,1,1
"geo020s09a0120v01","geo020s09a0057v01",0,1,1
"geo020s09a0128v01","geo020s09a0057v01",0,1,1
"geo020s09a0133v01","geo020s09a0057v01",0,1,1
"geo020s09a0137v01","geo020s09a0057v01",2.22044604925e-16,1,1
"geo020s09a0141v01","geo020s09a0057v01",2.22044604925e-16,1,1
"geo020s09a0158v01","geo020s09a0057v01",0,1,1
"geo020s09a0192v01","geo020s09a0057v01",0,1,1
"geo020s09a0194v01","geo020s09a0057v01",0,1,1
"geo020s09a0197v01","geo020s09a0057v01",0,1,1
"geo020s09a0201v01","geo020s09a0057v01",0,1,1
