#file time_0 time_1 time_2 time_3 time_4 time_5 time_6 time_7 time_8 time_9 time_10 time_11 time_12 time_13 time_14 time_15 time_16 time_17 time_18 time_19 time_20 time_21 time_22 time_23 time_24 
geo020s08a0006v01 -1.0036 -2.9901 -4.8175 -7.2022 -6.7995 -8.1444 -7.0147 -4.7101 -0.2969 2.8428 4.2853 5.0759 7.5911 10.3622 11.1282 10.2632 6.8710 -4.4212 -21.7038 -17.8373 0.9336 13.1727 8.0755 2.7502 -4.9540 
geo020s08a0006v02 8.7511 16.5765 20.2715 12.6080 6.4472 -0.8968 -5.8626 -11.6727 -9.6770 -8.9889 -4.0031 0.6464 4.5338 6.2142 4.6658 1.4565 -0.8479 -1.4726 -4.8855 -2.7926 -3.9416 3.4462 7.0934 11.4301 10.6806 
geo020s08a0007v01 58.7170 16.6710 5.7881 38.7824 34.0658 -0.1532 -11.8437 -38.6376 -24.2580 -10.3240 -9.7167 -28.9939 -38.2223 -41.2775 -47.7353 -46.6383 -41.8355 -34.2513 -22.9870 -8.4350 5.6495 11.4847 9.4269 11.2770 13.4415 
geo020s08a0007v02 19.5519 25.2752 10.1226 2.2913 -5.5212 -10.9497 -10.0423 2.9595 2.3415 -1.3030 -7.9934 -10.8340 -5.0617 -5.4428 -11.7399 -4.8210 -2.8086 -1.2317 -7.4963 -4.7213 11.0856 23.6728 30.6883 27.4182 18.5627 
geo020s08a0008v01 -8.9619 13.6543 36.7598 44.9829 27.0307 20.8294 -1.0308 -28.7148 -34.3115 -31.3355 -17.3579 -2.1903 8.8105 8.7957 7.6030 11.3967 14.3584 13.6414 10.7309 3.0254 -2.3043 -3.2332 -4.6232 -6.7862 -8.0885 
geo020s08a0008v02 0.3669 18.3282 23.0061 17.9744 7.6492 -0.6506 -5.2849 -3.2852 1.5548 5.0598 5.0063 -0.6621 -2.7590 2.0543 13.3125 20.6497 20.7319 12.2087 -0.1118 -15.1003 -21.0546 -17.5523 -10.8629 -4.3285 -3.1208 
geo020s08a0009v01 31.3309 13.9343 -7.0416 -23.1261 -31.9521 -30.3233 -23.0063 -9.9390 2.2899 11.3904 13.8703 9.4915 6.5137 -4.2442 3.5462 6.6905 8.5787 5.6610 2.8899 2.9518 2.8514 1.1102 -0.3781 0.2412 3.8767 
geo020s08a0011v01 3.4446 0.1566 -1.5706 -6.6886 -10.6375 -6.9197 -6.0535 -4.0936 -1.0104 8.1549 11.2723 8.9319 7.8034 3.6398 -1.8207 11.8857 13.9511 9.6008 -3.8996 -26.7779 -33.8180 -13.0862 14.9053 22.6718 12.8356 
geo020s08a0011v02 -11.8921 -20.5270 -23.5258 -21.2470 -14.7338 -1.7518 10.4834 17.2326 15.2549 8.6108 -0.1377 -6.5191 -12.6182 -17.5969 -14.4423 -12.2950 -3.3801 1.6110 5.3510 6.8026 10.1213 8.3803 8.8976 7.2155 0.4577 
geo020s08a0012v01 23.2654 7.6033 -7.6082 -14.9055 -11.2863 -2.0226 5.9370 6.1585 2.7421 -1.0519 -1.8594 0.1341 -0.4269 -3.1860 -6.8073 -8.5081 -5.6974 -2.1345 6.0825 9.2170 9.1629 9.3303 12.3257 11.3748 6.8597 
geo020s08a0012v02 4.2575 3.7974 3.7002 0.2620 -1.9756 -2.3374 -2.9631 -2.4041 -0.5184 3.0374 3.1981 2.8827 -0.5963 -18.0362 -26.6943 -7.1577 18.9043 16.8997 5.2728 -7.6513 -14.1531 -13.0384 -5.1060 1.5390 8.9387 
geo020s08a0013v01 -53.3268 -23.9972 -28.6976 -24.1563 -25.8099 -19.5433 -5.9659 4.2033 1.3358 -2.5367 -14.8565 -20.8239 -20.5130 -11.7266 3.6072 18.5108 28.7250 34.6854 34.0710 23.8107 1.5193 -3.9170 -14.5642 1.7417 20.1683 
geo020s08a0013v02 -1.9523 -8.3222 -14.9483 -18.9156 -12.8822 -4.0835 4.0593 7.8616 2.9516 1.5545 1.6733 3.0857 5.7706 6.7217 8.7277 10.6148 7.5567 4.8282 0.2322 -3.7333 -2.7797 -2.7539 -5.2363 -7.8559 -8.1085 
geo020s08a0014v01 -7.1527 -18.3725 -24.5064 -18.6428 -5.9066 13.3895 25.1125 23.2070 1.0942 -15.0278 -32.4462 -40.7746 -26.3384 10.9597 41.4763 53.9838 34.4516 12.3497 -6.0422 -9.9079 -17.3569 -18.9451 -9.7620 -0.1429 6.2373 
geo020s08a0014v02 -13.1065 -10.5434 1.3959 12.9247 15.2681 10.3135 2.3002 -4.9145 -4.6942 -2.3316 1.2198 4.8756 7.6713 8.3544 4.7542 1.8789 1.3371 -0.4752 -0.0840 -1.8935 -6.0139 -6.2824 -2.9865 -6.3560 -8.0666 
