"","#file","onset","offset","#item","sequence","syllables","type","place","vowel","position","speaker","question","new","time_0","time_1","time_2","time_3","time_4","time_5","time_6","time_7","time_8","time_9","time_10","time_11","time_12","time_13","time_14","time_15","time_16","time_17","time_18","time_19","time_20","time_21","time_22","time_23","time_24"
"1","geo020s08a0006v01",1.009134,1.138134,2,"t>e",2,"ejective","coronal","e","initial","s08","question","new",-0.001,-0.003,-0.0048,-0.0072,-0.0068,-0.0081,-0.007,-0.0047,-3e-04,0.0028,0.0043,0.0051,0.0076,0.0104,0.0111,0.0103,0.0069,-0.0044,-0.0217,-0.0178,9e-04,0.0132,0.0081,0.0028,-0.005
"2","geo020s08a0006v02",0.815716,0.944716,3,"t>e",2,"ejective","coronal","e","initial","s08","answer","echo",0.0088,0.0166,0.0203,0.0126,0.0064,-9e-04,-0.0059,-0.0117,-0.0097,-0.009,-0.004,6e-04,0.0045,0.0062,0.0047,0.0015,-8e-04,-0.0015,-0.0049,-0.0028,-0.0039,0.0034,0.0071,0.0114,0.0107
"3","geo020s08a0007v01",0.828663,0.957663,4,"ka",2,"pulmonic","velar","a","initial","s08","question","new",0.0587,0.0167,0.0058,0.0388,0.0341,-2e-04,-0.0118,-0.0386,-0.0243,-0.0103,-0.0097,-0.029,-0.0382,-0.0413,-0.0477,-0.0466,-0.0418,-0.0343,-0.023,-0.0084,0.0056,0.0115,0.0094,0.0113,0.0134
"4","geo020s08a0007v02",0.818329,0.947329,5,"pa",2,"pulmonic","labial","a","initial","s08","answer","new",0.0196,0.0253,0.0101,0.0023,-0.0055,-0.0109,-0.01,0.003,0.0023,-0.0013,-0.008,-0.0108,-0.0051,-0.0054,-0.0117,-0.0048,-0.0028,-0.0012,-0.0075,-0.0047,0.0111,0.0237,0.0307,0.0274,0.0186
"5","geo020s08a0008v01",0.809288,0.938288,6,"pa",2,"pulmonic","labial","a","initial","s08","question","new",-0.009,0.0137,0.0368,0.045,0.027,0.0208,-0.001,-0.0287,-0.0343,-0.0313,-0.0174,-0.0022,0.0088,0.0088,0.0076,0.0114,0.0144,0.0136,0.0107,0.003,-0.0023,-0.0032,-0.0046,-0.0068,-0.0081
"6","geo020s08a0008v02",0.718602,0.847602,7,"pa",2,"pulmonic","labial","a","initial","s08","answer","echo",4e-04,0.0183,0.023,0.018,0.0076,-7e-04,-0.0053,-0.0033,0.0016,0.0051,0.005,-7e-04,-0.0028,0.0021,0.0133,0.0206,0.0207,0.0122,-1e-04,-0.0151,-0.0211,-0.0176,-0.0109,-0.0043,-0.0031
"7","geo020s08a0009v01",0.864113,0.993113,8,"k>a",3,"ejective","velar","a","initial","s08","question","new",0.0313,0.0139,-0.007,-0.0231,-0.032,-0.0303,-0.023,-0.0099,0.0023,0.0114,0.0139,0.0095,0.0065,-0.0042,0.0035,0.0067,0.0086,0.0057,0.0029,0.003,0.0029,0.0011,-4e-04,2e-04,0.0039
"8","geo020s08a0013v01",0.609962,0.738962,13,"t>e",2,"ejective","coronal","e","initial","s08","question","new",-0.0533,-0.024,-0.0287,-0.0242,-0.0258,-0.0195,-0.006,0.0042,0.0013,-0.0025,-0.0149,-0.0208,-0.0205,-0.0117,0.0036,0.0185,0.0287,0.0347,0.0341,0.0238,0.0015,-0.0039,-0.0146,0.0017,0.0202
"9","geo020s08a0015v02",0.77701,0.90601,17,"t>a",2,"ejective","coronal","a","initial","s08","answer","new",0.0122,0.0167,0.0113,0.0044,-2e-04,-0.0038,-0.0056,-0.007,-0.0045,0.0015,0.0028,0.003,0.0038,0.0019,-0.0012,-0.0024,-0.0035,-0.0061,-0.0087,-0.0035,0.0028,0.0107,0.013,0.0115,0.0078
"10","geo020s08a0016v01",0.708639,0.837639,18,"t>a",2,"ejective","coronal","a","initial","s08","question","new",0.0033,-0.0176,-0.0277,-0.0293,-0.0276,-0.0269,-0.029,-0.037,-0.0325,-0.0212,-0.0083,0.0069,0.0215,0.0263,0.0213,0.0131,0.006,0.0037,-0.0027,-0.0055,-0.0089,-0.0178,-0.0295,-0.0332,-0.0382
"11","geo020s08a0016v02",0.861249,0.990249,19,"t>a",2,"ejective","coronal","a","initial","s08","answer","echo",0.0058,0.0086,0.0073,0.0036,-0.0048,-0.0238,-0.0431,-0.043,-0.0109,0.0018,0.0124,0.0131,-0.0035,-0.0299,0.001,-0.0156,0.0226,0.0359,0.0415,0.0309,0.0201,0.0059,-0.0142,-0.0217,0.0017
