 file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
0 geo020s08a0057v01_1.151509_1.201915 0.172340508345 0.137135749629 geo020s08a0045v01_1.105129_1.209971 0.408136802761 0.237026980243 0.147511718658
1 geo020s08a0080v01_0.966183_1.015651 0.193434282623 0.63946088088 geo020s08a0045v01_1.105129_1.209971 0.408136802761 0.237026980243 0.948291749089
2 geo020s08a0045v01_1.105129_1.209971 0.408136802761 0.237026980243 geo020s08a0080v01_0.966183_1.015651 0.193434282623 0.63946088088 0.948291749089
3 geo020s08a0057v01_1.151509_1.201915 0.172340508345 0.137135749629 geo020s08a0080v01_0.966183_1.015651 0.193434282623 0.63946088088 0.840854729678
0 geo020s08a0067v01_0.934253_1.008616 0.225709338608 0.712988980383 geo020s08a0027v01_0.842852_0.951826 0.102334428828 0.41405598782 0.0367744024944
1 geo020s08a0071v01_0.913275_0.993317 0.239847759148 0.493769714269 geo020s08a0027v01_0.842852_0.951826 0.102334428828 0.41405598782 0.0291089683119
2 geo020s08a0102v01_0.917676_1.002482 0.973802077927 0.677800891434 geo020s08a0027v01_0.842852_0.951826 0.102334428828 0.41405598782 0.0288983737865
3 geo020s08a0136v01_0.889421_0.952324 0.782749414784 0.990471783624 geo020s08a0027v01_0.842852_0.951826 0.102334428828 0.41405598782 0.285701931152
4 geo020s08a0027v01_0.842852_0.951826 0.102334428828 0.41405598782 geo020s08a0067v01_0.934253_1.008616 0.225709338608 0.712988980383 0.0367744024944
5 geo020s08a0071v01_0.913275_0.993317 0.239847759148 0.493769714269 geo020s08a0067v01_0.934253_1.008616 0.225709338608 0.712988980383 0.00174515515268
6 geo020s08a0102v01_0.917676_1.002482 0.973802077927 0.677800891434 geo020s08a0067v01_0.934253_1.008616 0.225709338608 0.712988980383 0.0364893490332
7 geo020s08a0136v01_0.889421_0.952324 0.782749414784 0.990471783624 geo020s08a0067v01_0.934253_1.008616 0.225709338608 0.712988980383 0.137446707478
8 geo020s08a0027v01_0.842852_0.951826 0.102334428828 0.41405598782 geo020s08a0071v01_0.913275_0.993317 0.239847759148 0.493769714269 0.0291089683119
9 geo020s08a0067v01_0.934253_1.008616 0.225709338608 0.712988980383 geo020s08a0071v01_0.913275_0.993317 0.239847759148 0.493769714269 0.00174515515268
10 geo020s08a0102v01_0.917676_1.002482 0.973802077927 0.677800891434 geo020s08a0071v01_0.913275_0.993317 0.239847759148 0.493769714269 0.0319293398534
11 geo020s08a0136v01_0.889421_0.952324 0.782749414784 0.990471783624 geo020s08a0071v01_0.913275_0.993317 0.239847759148 0.493769714269 0.158550959041
12 geo020s08a0027v01_0.842852_0.951826 0.102334428828 0.41405598782 geo020s08a0102v01_0.917676_1.002482 0.973802077927 0.677800891434 0.0288983737865
