type_2	type_1	by	score	n
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'i')	0.75	8
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'i')	0.958333333333	24
ejective	pulmonic	('velar', 'medial', 'answer', 's08', 'i')	0.9	10
pulmonic	ejective	('velar', 'medial', 'answer', 's08', 'i')	0.925	40
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.916666666667	72
pulmonic	ejective	('velar', 'medial', 'question', 's08', 'i')	0.8	30
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	1.0	12
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	1.0	60
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'i')	0.75	8
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'i')	0.333333333333	24
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.657713498623	2904
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.772186147186	5544
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.0	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.674125874126	2860
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.730909090909	7150
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'a')	0.75	84
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'a')	1.0	14
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	1.0	18
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.9375	144
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'a')	0.583333333333	60
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'a')	0.25	12
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	1.0	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.807894736842	380
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
